oncul,sonuc,support,confidence,lift,birlikte_gorulme
KAPI ARIZALARI,OTOMATİK ŞANZIMAN ARIZALARI,0.6974,0.7874,1.06,2563
MOTOR ARIZALARI,SOĞUTMA SİSTEMİ ARIZASI,0.8544,0.955,1.058,3140
SOĞUTMA SİSTEMİ ARIZASI,MOTOR ARIZALARI,0.8544,0.9469,1.058,3140
SÜSPANSİYON SİSTEMİ ARIZALARI,KAPI ARIZALARI,0.652,0.937,1.058,2396
KAPI ARIZALARI,SÜSPANSİYON SİSTEMİ ARIZALARI,0.652,0.7361,1.058,2396
KLİMA SİSTEMİ ARIZALARI,SOĞUTMA SİSTEMİ ARIZASI,0.8245,0.9525,1.056,3030
SOĞUTMA SİSTEMİ ARIZASI,KLİMA SİSTEMİ ARIZALARI,0.8245,0.9138,1.056,3030
KAROSER ARIZALARI,BASINÇLI HAVA HATTI ARIZASI,0.3118,0.3354,1.053,1146
BASINÇLI HAVA HATTI ARIZASI,KAROSER ARIZALARI,0.3118,0.9795,1.053,1146
ISITMA SİSTEMİ,SOĞUTMA SİSTEMİ ARIZASI,0.7029,0.95,1.053,2583
SOĞUTMA SİSTEMİ ARIZASI,ISITMA SİSTEMİ,0.7029,0.779,1.053,2583
KAPI ARIZALARI,Destek,0.7306,0.8249,1.051,2685
Destek,KAPI ARIZALARI,0.7306,0.9307,1.051,2685
ISITMA SİSTEMİ,YAKIT ve ENJEKSİYON ARIZALARI,0.4936,0.6672,1.05,1814
YAKIT ve ENJEKSİYON ARIZALARI,ISITMA SİSTEMİ,0.4936,0.7765,1.05,1814
ELEKTRİK SİSTEMİ ARIZALARI,BASINÇLI HAVA HATTI ARIZASI,0.3162,0.3343,1.05,1162
BASINÇLI HAVA HATTI ARIZASI,ELEKTRİK SİSTEMİ ARIZALARI,0.3162,0.9932,1.05,1162
BASINÇLI YAĞ HATTI ARIZASI,ELEKTRİK SİSTEMİ ARIZALARI,0.2936,0.9926,1.049,1079
ELEKTRİK SİSTEMİ ARIZALARI,BASINÇLI YAĞ HATTI ARIZASI,0.2936,0.3104,1.049,1079
YAKIT ve ENJEKSİYON ARIZALARI,AKBİL ARIZALARI,0.4993,0.7855,1.047,1835
AKBİL ARIZALARI,YAKIT ve ENJEKSİYON ARIZALARI,0.4993,0.6653,1.047,1835
KAYIŞ KASNAK ARIZALARI,ELEKTRİK SİSTEMİ ARIZALARI,0.4716,0.988,1.045,1733
ELEKTRİK SİSTEMİ ARIZALARI,KAYIŞ KASNAK ARIZALARI,0.4716,0.4986,1.045,1733
KLİMA SİSTEMİ ARIZALARI,KAMERA SİSTEMİ ARIZALARI,0.5312,0.6136,1.044,1952
KAMERA SİSTEMİ ARIZALARI,KLİMA SİSTEMİ ARIZALARI,0.5312,0.9033,1.044,1952
BASINÇLI HAVA DONANIMI ARIZALARI,ELEKTRİK SİSTEMİ ARIZALARI,0.511,0.9879,1.044,1878
ELEKTRİK SİSTEMİ ARIZALARI,BASINÇLI HAVA DONANIMI ARIZALARI,0.511,0.5403,1.044,1878
SÜSPANSİYON SİSTEMİ ARIZALARI,FREN ŞİKAYETLERİ,0.6169,0.8866,1.043,2267
FREN ŞİKAYETLERİ,SÜSPANSİYON SİSTEMİ ARIZALARI,0.6169,0.7259,1.043,2267
FREN ŞİKAYETLERİ,YAKIT ve ENJEKSİYON ARIZALARI,0.5635,0.6631,1.043,2071
YAKIT ve ENJEKSİYON ARIZALARI,FREN ŞİKAYETLERİ,0.5635,0.8866,1.043,2071
FREN ŞİKAYETLERİ,Destek,0.6958,0.8188,1.043,2557
Destek,FREN ŞİKAYETLERİ,0.6958,0.8863,1.043,2557
ISITMA SİSTEMİ,FREN ŞİKAYETLERİ,0.6552,0.8856,1.042,2408
FREN ŞİKAYETLERİ,ISITMA SİSTEMİ,0.6552,0.7711,1.042,2408
KAPI ARIZALARI,KLİMA SİSTEMİ ARIZALARI,0.7992,0.9023,1.042,2937
KLİMA SİSTEMİ ARIZALARI,KAPI ARIZALARI,0.7992,0.9233,1.042,2937
KAPI ARIZALARI,MOTOR ARIZALARI,0.825,0.9315,1.041,3032
MOTOR ARIZALARI,KAPI ARIZALARI,0.825,0.9221,1.041,3032
SOĞUTMA SİSTEMİ ARIZASI,KAPI ARIZALARI,0.8321,0.9222,1.041,3058
KAPI ARIZALARI,SOĞUTMA SİSTEMİ ARIZASI,0.8321,0.9395,1.041,3058
KAROSER ARIZALARI,BASINÇLI MOTOR YAĞI SİSTEMİ,0.3426,0.3685,1.041,1259
BASINÇLI MOTOR YAĞI SİSTEMİ,KAROSER ARIZALARI,0.3426,0.9677,1.041,1259
YAKIT ve ENJEKSİYON ARIZALARI,ELEKTRİK SİSTEMİ ARIZALARI,0.6259,0.9846,1.041,2300
ELEKTRİK SİSTEMİ ARIZALARI,YAKIT ve ENJEKSİYON ARIZALARI,0.6259,0.6617,1.041,2300
FREN ŞİKAYETLERİ,KLİMA SİSTEMİ ARIZALARI,0.7649,0.9001,1.04,2811
KLİMA SİSTEMİ ARIZALARI,FREN ŞİKAYETLERİ,0.7649,0.8837,1.04,2811
